timestamp,child_id,academic_score,attendance_rate,homework_completion_rate,behavior_label,environment_location,alarm_triggered,risk_score
2025-01-03 23:20:00,046,79.8,86.7,99.9,pushing,playground,False,0.92
2025-01-02 20:00:00,006,65.0,83.0,72.8,climbing,cafeteria,False,0.91
2025-06-27 23:12:00,008,67.5,72.6,71.2,running,hallway,True,0.95
2025-06-18 17:57:00,039,65.0,80.5,68.0,running,cafeteria,True,0.94
2025-01-27 00:24:00,039,60.0,69.8,68.1,walking,hallway,False,0.65
2025-02-24 17:46:00,044,67.8,94.5,63.8,safe,hallway,False,0.07
2025-03-08 23:06:00,029,80.6,72.6,99.0,running,playground,False,0.81
2025-04-04 00:55:00,039,76.0,69.8,93.5,walking,cafeteria,False,0.65
2025-06-07 18:45:00,044,68.4,90.1,65.8,standing,playground,False,0.76
2025-04-21 22:59:00,027,97.4,60.7,65.3,safe,hallway,False,0.03
2025-01-10 01:01:00,016,44.8,70.7,55.2,falling,hallway,True,0.75
2025-01-15 16:11:00,027,79.6,75.0,93.9,walking,hallway,False,0.59
2025-03-02 23:12:00,039,72.9,95.3,68.6,safe,hallway,False,0.09
2025-06-13 00:21:00,040,60.4,98.0,78.6,climbing,classroom,True,0.7
2025-05-01 00:42:00,001,80.5,88.7,95.0,safe,hallway,False,0.03
2025-01-04 18:43:00,045,71.7,79.7,70.4,safe,cafeteria,False,0.05
2025-05-15 16:49:00,033,93.7,85.6,90.3,falling,hallway,True,0.61
2025-01-24 18:57:00,050,88.0,76.6,71.5,safe,classroom,False,0.09
2025-05-22 01:45:00,039,100.0,72.0,85.0,safe,cafeteria,True,0.02
2025-01-28 18:19:00,027,67.8,98.0,71.6,falling,classroom,False,0.6
2025-04-09 19:38:00,017,95.9,64.6,69.6,climbing,classroom,True,0.7
2025-05-21 00:34:00,015,57.5,73.9,99.5,walking,cafeteria,False,0.95
2025-03-25 00:31:00,022,73.3,96.0,80.6,safe,classroom,False,0.07
2025-06-22 19:28:00,019,68.0,88.9,68.4,falling,hallway,False,0.8
2025-05-14 18:14:00,028,84.0,61.2,62.9,safe,playground,False,0.04
2025-05-08 00:03:00,023,83.7,60.9,52.0,pushing,playground,True,0.97
2025-06-21 17:47:00,036,61.5,80.7,85.3,safe,playground,False,0.01
2025-04-09 17:35:00,049,84.9,79.4,68.6,jumping,cafeteria,True,0.66
2025-02-01 22:08:00,039,69.3,77.7,91.1,crying,cafeteria,False,0.7
2025-06-11 17:05:00,048,62.7,72.1,68.2,walking,cafeteria,False,0.84
2025-01-29 21:40:00,049,74.8,99.5,68.7,safe,playground,False,0.1
2025-04-19 23:48:00,020,52.8,70.9,89.0,standing,playground,False,0.55
2025-03-18 19:02:00,047,89.0,79.6,74.5,safe,cafeteria,False,0.04
2025-03-26 21:32:00,009,74.2,76.2,94.2,falling,playground,True,0.81
2025-07-01 00:04:00,023,74.5,66.8,79.5,safe,classroom,False,0.09
2025-01-22 20:26:00,045,73.7,68.1,62.0,safe,classroom,False,0.02
2025-02-25 22:20:00,007,99.7,96.7,78.4,standing,playground,False,0.95
2025-01-29 17:57:00,031,97.8,94.3,50.2,safe,cafeteria,False,0.07
2025-05-27 17:56:00,011,95.3,68.0,65.6,walking,hallway,False,0.64
